property,annual_emissions,normalised_cost,annual_cost,primary_energy_consumption,energy_per_area,electrical_emissions,gas_emissions,electrical_per_area,gas_per_area,electrical_normalised_cost,gas_normalised_cost,electrical_annual_cost,gas_annual_cost,comfort_pre,comfort_post,comfort_pre_value,comfort_post_value,pre_air_tightness,post_air_tightness,ashp,gshp,electric,gas_fired_boiler,biomass_boiler,micro_chp,solar_pv,solar_thermal,mvhr,exhaust_air_heat_recovery,decentralised_mev,cavity_insulation,ewi_solid_wall,iwi_solid_wall,triple_glazed,roof_or_loft_insulation,floor_insulation,low_energy_lighting,new_heating_controls,voltage_optimisation
TSB032,41.36810103,14.1945522,1180.418961,274.4802912,98.02867542,41.36810103,0,98.02867542,0,14.1945522,0,1180.418961,0,NA,NA,NA,NA,7.51,2.95,yes,,,,,NA,yes,yes,yes,,,,yes,yes,yes,yes,,,yes,NA
TSB022,41.50166696,14.24038241,1269.530092,275.3665106,98.34518237,41.50166696,0,98.34518237,0,14.24038241,0,1269.530092,0,MIXED,POOR,0,-1,10.66,5.8,,,yes,,,NA,,,yes,,,,yes,,yes,yes,yes,yes,,NA
TSB052,42.68117961,14.64510618,1300.192527,283.1926609,101.140236,42.68117961,0,101.140236,0,14.64510618,0,1300.192527,0,NA,NA,NA,NA,NA,4.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TSB026,43.53131899,14.93681277,1279.935486,288.8333962,103.1547843,43.53131899,0,103.1547843,0,14.93681277,0,1279.935486,0,POOR,GOOD,-1,1,8.06,10.92,,yes,,,,NA,yes,yes,,,,,,yes,yes,yes,yes,,yes,NA
TSB027,45.93107745,12.1940147,719.4468672,258.7578219,195.3725744,14.86031915,31.0707583,35.21402642,160.1585479,5.098991025,7.095023674,300.8404705,418.6063968,MIXED,MIXED,0,0,15.02,9.94,,,,yes,,NA,yes,yes,yes,,,,yes,,yes,yes,,yes,,NA
TSB025,46.55069832,13.36282695,1170.850898,275.2024268,173.6394692,23.81087119,22.73982713,56.42386537,117.2156038,8.170175706,5.192651247,715.8707954,454.9801023,POOR,GOOD,-1,1,15.82,12.51,,,,yes,,NA,yes,yes,,,,,yes,,yes,yes,,,yes,NA
TSB106,46.71447639,13.51781373,1017.080305,277.5633265,171.6305204,24.83535787,21.87911852,58.85155894,112.7789614,8.521705735,4.996107991,641.1731395,375.9071652,NA,NA,NA,NA,11.9,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TSB096,46.83418861,14.02956642,897.8922508,284.4285386,160.4936692,29.05584161,17.778347,68.85270523,91.64096392,9.969871718,4.059694702,638.0717899,259.8204609,POOR,GOOD,-1,1,10.44,4.27,,,,yes,,NA,,yes,yes,,,,,yes,,,,,,NA
TSB013,47.69976347,13.91322738,1153.963079,284.8402878,172.5741635,26.32016913,21.37959433,62.37006904,110.2040945,9.031185997,4.882041386,749.0465666,404.9165126,MIXED,GOOD,0,1,8.12,6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TSB024,47.70265193,13.7789675,1143.654303,283.1149474,175.8627513,25.14468154,22.55797039,59.5845534,116.2781979,8.627843333,5.151124167,716.1109966,427.5433059,POOR,GOOD,-1,1,8.88,8.95,,,,yes,,NA,yes,yes,,,yes,,,yes,,yes,,yes,,NA
TSB086,47.82629515,16.41053919,1235.549496,317.3308683,113.332453,47.82629515,0,113.332453,0,16.41053919,0,1235.549496,0,GOOD,GOOD,1,1,27.83,9.55,yes,,,,,NA,,yes,yes,,,,,,,yes,,,yes,NA
TSB101,48.34741718,16.58935073,1493.041566,320.78855,114.5673393,48.34741718,0,114.5673393,0,16.58935073,0,1493.041566,0,NA,NA,NA,NA,9.84,9.63,,,,,,NA,,,,,,,,,,,,,,NA
TSB093,48.74638132,16.72624648,1505.362183,323.4357054,115.5127519,48.74638132,0,115.5127519,0,16.72624648,0,1505.362183,0,NA,NA,NA,NA,12.12,12.72,,,,,,NA,,,,,,,,,,,,,,NA
TSB021,48.75784961,16.73018157,1214.611182,323.5117984,115.539928,48.75784961,0,115.539928,0,16.73018157,0,1214.611182,0,POOR,GOOD,-1,1,7.52,6.09,yes,,,,,NA,,yes,yes,,,,yes,,yes,yes,,,yes,NA
TSB114,50.79339934,13.73899228,1027.676623,289.4277542,209.8893635,18.64733382,32.14606552,44.18799484,165.7013686,6.398421653,7.340570631,478.6019397,549.0746832,GOOD,GOOD,1,1,6.65,3.2,,,,yes,,NA,,,,,,,,yes,,yes,,,yes,NA
TSB073,53.68122942,18.41953085,1632.707215,356.1787734,127.2067048,53.68122942,0,127.2067048,0,18.41953085,0,1632.707215,0,NA,NA,NA,NA,7.02,3.26,,,,,,NA,,,,,,,,,,,,,,NA
