Code,rwiCompositeScore
NOR,98
USA,92
GBR,88
AUS,85
BRA,80
MEX,77
CAN,76
CHL,75
COL,74
TTO,74
PER,73
IND,70
TLS,68
IDN,66
GHA,63
LBR,62
ZMB,61
ECU,58
KAZ,57
VEN,56
RUS,56
ZAF,56
PHL,54
MAR,53
BOL,53
MNG,51
TZA,50
AZE,48
IRQ,47
BWA,47
BHR,47
GAB,46
GIN,46
MYS,46
SLE,46
CHN,43
YEM,43
EGY,43
PNG,43
NGA,43
AGO,42
KWT,41
VNM,41
COD,39
DZA,38
MOZ,37
CMR,34
SAU,34
AFG,33
SDN,31
ZWE,31
KHM,29
IRN,28
QAT,26
LBY,19
GNQ,13
TKM,5
MMR,4
